rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.7126,0.6502,0.625,1.0,7,5,False,True
2,frame_0073.jpg,29.2,0.7073,0.6397,0.625,1.0,7,5,False,False
3,frame_0070.jpg,28.0,0.6835,0.5919,0.625,1.0,6,5,False,False
4,frame_0129.jpg,51.6,0.6635,0.6,0.625,0.88,5,5,False,True
5,frame_0122.jpg,48.8,0.66,0.855,0.375,0.6,3,3,False,True
6,frame_0291.jpg,116.4,0.649,0.587,0.625,0.84,7,5,False,True
7,frame_0008.jpg,3.2,0.6443,0.6637,0.375,1.0,3,3,False,True
8,frame_0001.jpg,0.4,0.6442,0.5883,0.5,1.0,7,4,False,True
9,frame_0294.jpg,117.6,0.6409,0.6188,0.625,0.72,5,5,False,False
10,frame_0376.jpg,150.4,0.6386,0.7632,0.75,0.16,6,6,False,True
11,frame_0075.jpg,30.0,0.6299,0.5008,0.625,0.96,6,5,False,False
12,frame_0071.jpg,28.4,0.6248,0.5496,0.5,1.0,5,4,False,False
13,frame_0069.jpg,27.6,0.6219,0.5438,0.5,1.0,5,4,False,True
14,frame_0019.jpg,7.6,0.612,0.749,0.125,1.0,1,1,False,True
15,frame_0004.jpg,1.6,0.606,0.5871,0.375,1.0,3,3,False,False
16,frame_0130.jpg,52.0,0.6039,0.6148,0.375,0.92,3,3,False,False
17,frame_0384.jpg,153.6,0.6022,0.6905,0.75,0.16,8,6,False,True
18,frame_0000.jpg,0.0,0.6015,0.5029,0.5,1.0,6,4,False,False
19,frame_0007.jpg,2.8,0.5961,0.4922,0.5,1.0,4,4,False,False
20,frame_0123.jpg,49.2,0.5929,0.6299,0.5,0.64,5,4,False,False
21,frame_0368.jpg,147.2,0.5863,0.5567,1.0,0.04,8,8,False,True
22,frame_0377.jpg,150.8,0.5839,0.6698,0.75,0.12,9,6,False,False
23,frame_0285.jpg,114.0,0.5826,0.6252,0.5,0.6,4,4,False,True
24,frame_0079.jpg,31.6,0.5812,0.4673,0.625,0.8,7,5,False,False
25,frame_0375.jpg,150.0,0.5782,0.7014,0.625,0.2,9,5,False,False
26,frame_0169.jpg,67.6,0.5756,0.5683,0.625,0.52,6,5,False,False
27,frame_0387.jpg,154.8,0.5698,0.6097,0.75,0.2,8,6,False,False
28,frame_0286.jpg,114.4,0.5597,0.6385,0.375,0.64,4,3,False,False
29,frame_0077.jpg,30.8,0.5595,0.5421,0.375,0.88,7,3,False,False
30,frame_0378.jpg,151.2,0.5543,0.5516,0.875,0.08,9,7,False,False
31,frame_0297.jpg,118.8,0.5531,0.4911,0.625,0.6,6,5,False,False
32,frame_0295.jpg,118.0,0.5403,0.5086,0.5,0.68,6,4,False,False
33,frame_0170.jpg,68.0,0.5377,0.5084,0.625,0.48,7,5,False,False
34,frame_0072.jpg,28.8,0.5326,0.5151,0.25,1.0,6,2,False,False
35,frame_0329.jpg,131.6,0.5319,0.5818,0.75,0.08,9,6,False,False
36,frame_0292.jpg,116.8,0.5316,0.4432,0.5,0.8,7,4,False,False
37,frame_0029.jpg,11.6,0.5315,0.4381,0.375,1.0,5,3,False,False
38,frame_0076.jpg,30.4,0.5273,0.5367,0.25,0.92,6,2,False,False
